Name,Region,GENC,Year,Population,,,,
Albania,Europe,AL,2005,"3,024,532",,,,
Andorra,Europe,AD,2005,"76,122",,,,
Austria,Europe,AT,2005,"8,314,652",,,,
Belarus,Europe,BY,2005,"9,806,451",,,,
Belgium,Europe,BE,2005,"10,469,151",,,,
Bosnia and Herzegovina,Europe,BA,2005,"3,893,098",,,,
Bulgaria,Europe,BG,2005,"7,611,111",,,,
Croatia,Europe,HR,2005,"4,441,957",,,,
Czechia,Europe,CZ,2005,"10,266,924",,,,
Denmark,Europe,DK,2005,"5,415,505",,,,
Estonia,Europe,EE,2005,"1,331,702",,,,
Faroe Islands,Europe,FO,2005,"48,306",,,,
Finland,Europe,FI,2005,"5,238,011",,,, 
France,Europe,FR,2005,"63,089,589",,,,
Germany,Europe,DE,2005,"82,439,417",,,,
Gibraltar,Europe,GI,2005,"28,417",,,,
Greece,Europe,GR,2005,"10,990,646",,,,
Guernsey,Europe,GG,2005,"63,131",,,,
Hungary,Europe,HU,2005,"10,057,624",,,,
Iceland,Europe,IS,2005,"296,699",,,,
Ireland,Europe,IE,2005,"4,199,187",,,,
Isle of Man,Europe,IM,2005,"79,590",,,,
Italy,Europe,IT,2005,"59,037,807",,,,
Jersey,Europe,JE,2005,"88,491",,,,
Kosovo,Europe,XK,2005,"1,767,272",,,,
Latvia,Europe,LV,2005,"2,258,990",,,,
Liechtenstein,Europe,LI,2005,"34,880",,,,
Lithuania,Europe,LT,2005,"3,326,633",,,,
Luxembourg,Europe,LU,2005,"467,463",,,,
Malta,Europe,MT,2005,"406,510",,,,
Moldova,Europe,MD,2005,"3,965,919",,,,
Monaco,Europe,MC,2005,"31,098",,,,
Montenegro,Europe,ME,2005,"620,641",,,,
Netherlands,Europe,NL,2005,"16,299,098",,,,
North Macedonia,Europe,MK,2005,"2,057,226",,,,
Norway,Europe,NO,2005,"4,624,876",,,,
Poland,Europe,PL,2005,"38,556,604",,,,
Portugal,Europe,PT,2005,"10,576,759",,,,
Romania,Europe,RO,2005,"21,405,705",,,,
Russia,Europe,RU,2005,"144,285,722",,,,
San Marino,Europe,SM,2005,"29,605",,,,
Serbia,Europe,RS,2005,"7,424,559",,,,
Slovakia,Europe,SK,2005,"5,407,669",,,,
Slovenia,Europe,SI,2005,"2,020,477",,,,
Spain,Europe,ES,2005,"43,704,367",,,,
Sweden,Europe,SE,2005,"9,082,560",,,,
Switzerland,Europe,CH,2005,"7,457,354",,,,
Ukraine,Europe,UA,2005,"47,002,642",,,,
United Kingdom,Europe,GB,2005,"60,487,346",,,,
Total EU Pop.,Europe,,2005,"733,610,095",,,,
Bermuda,Northern America,BM,2005,"66,002",,,,
Canada,Northern America,CA,2005,"32,390,571",,,,
United States,Northern America,US,2005,"295,516,599",,,,
Mexico,Northern America,MX,2005,"106,576,363",,,,
Total NA Pop.,Northern America,,2005,"434,549,535",,,,
Albania,Europe,AL,2006,"3,005,777",,,,
Andorra,Europe,AD,2006,"78,294",,,,
Austria,Europe,AT,2006,"8,352,180",,,,
Belarus,Europe,BY,2006,"9,763,711",,,,
Belgium,Europe,BE,2006,"10,535,514",,,,
Bosnia and Herzegovina,Europe,BA,2006,"3,894,411",,,,
Bulgaria,Europe,BG,2006,"7,558,418",,,,
Croatia,Europe,HR,2006,"4,440,594",,,,
Czechia,Europe,CZ,2006,"10,300,229",,,,
Denmark,Europe,DK,2006,"5,433,195",,,,
Estonia,Europe,EE,2006,"1,322,944",,,,
Faroe Islands,Europe,FO,2006,"48,321",,,,
Finland,Europe,FI,2006,"5,257,972",,,,
France,Europe,FR,2006,"63,486,989",,,,
Germany,Europe,DE,2006,"82,346,364",,,,
Gibraltar,Europe,GI,2006,"28,468",,,,
