Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,48135,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2003,Counts,859030,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,49376,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,246338,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2004,Counts,847381,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,53451,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,239166,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,862220,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,56709,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,245507,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,874096,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,58269,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,261295,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,866358,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,58419,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,250932,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,843683,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,57002,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,244623,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,812514,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,55436,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,230687,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,781844,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,53957,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,212141,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,752423,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,53339,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,211921,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,762009,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,49260,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,32202,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,726800,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,48369,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,39937,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,731100,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,50708,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,46211,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,764100,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,53411,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,63654,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,803000,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,55724,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,55184,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,810319,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,57802,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,47069,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,810982,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,63677,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,90464,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,822017,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,69379,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,68026,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,921505,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,74613,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,943774.4737,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,3198,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,169,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,3457,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,323,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,3896,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,325,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,4488,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,595,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,4660,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,438,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,4732,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,907,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,4791,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,1162,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,4301,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,1284,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,3780,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,1344,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,3637,CTS
